FileNumber,Fragment,IsotopeRatio,Average,StdDev,StdError,RelStdError,TICVar,TIC*ITVar,TIC*ITMean
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,105.1,13C-18O/13C,0.0784906363182589,0.012211340288393956,0.0003615101634550422,0.004605774400773278,0.04863387031641924,0.0638899000982385,311327.7291849255
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,105.1,13C-18O/13C,0.0784906363182589,0.012211340288393956,0.0003615101634550422,0.004605774400773278,0.04863387031641924,0.0638899000982385,311327.7291849255
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,105.1,13C-18O/13C,0.0784906363182589,0.012211340288393956,0.0003615101634550422,0.004605774400773278,0.04863387031641924,0.0638899000982385,311327.7291849255
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,105.1,15N/13C,0.07304875227331342,0.01173213485336526,0.00034732354420978056,0.004754681406607225,0.04863387031641924,0.0638899000982385,311327.7291849255
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,105.1,15N/13C,0.07304875227331342,0.01173213485336526,0.00034732354420978056,0.004754681406607225,0.04863387031641924,0.0638899000982385,311327.7291849255
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,105.1,15N/13C,0.07304875227331342,0.01173213485336526,0.00034732354420978056,0.004754681406607225,0.04863387031641924,0.0638899000982385,311327.7291849255
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,105.1,18O/13C,0.03447661991410242,0.007705083893131852,0.00022810486579333999,0.006616218943784431,0.04863387031641924,0.0638899000982385,311327.7291849255
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,105.1,18O/13C,0.03447661991410242,0.007705083893131852,0.00022810486579333999,0.006616218943784431,0.04863387031641924,0.0638899000982385,311327.7291849255
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,105.1,18O/13C,0.03447661991410242,0.007705083893131852,0.00022810486579333999,0.006616218943784431,0.04863387031641924,0.0638899000982385,311327.7291849255
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,105.1,D/13C,0.02159082778918132,0.007368477242497127,0.00021813980688767108,0.010103355416366946,0.04863387031641924,0.0638899000982385,311327.7291849255
multipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,105.1,D/13C,0.02159082778918132,0.007368477242497127,0.00021813980688767108,0.010103355416366946,0.04863387031641924,0.0638899000982385,311327.7291849255
